element,xpath,LOD,action,value,color,explain
login-page,https://app.signit.cn/login,0,click,,#ffffff,[红页面，紫未解决，橙弹窗]
account,/html/body/div/div[2]/div/div/div/div/form/div[1]/div/div/input,0:01,input,,#145A32,
password,/html/body/div/div[2]/div/div/div/div/form/div[2]/div/div/input,0:02,input,,#145A32,
remember-vnp3b,/html/body/div/div[2]/div/div/div/div/form/div[3]/label/label/span/input,0:03,click,,#145A32,
mian-page,/html/body/div/div[2]/div/div/div/div/form/div[4]/button,0:04,click,,#145A32,
sign-page,/html/body/div[1]/nav[2]/button,0:04:01,click,,#1B4F72,发布
document-page,/html/body/div[1]/div[2]/div/div/div/div[2]/div/div[2]/div,0:04:01:01,click,,#154360,
todo-add-document,,0:04:01:01:01,click,,#2874A6,
sign-title,/html/body/div[1]/div[2]/div/div/div/div[4]/input,0:04:01:02,input,,#154360,
sign-remark,/html/body/div[1]/div[2]/div/div/div/div[6]/textarea,0:04:01:03,input,,#154360,
sign-single-page,/html/body/div[1]/div[2]/div/div/div/div[7]/div[1],0:04:01:04,click,,#154360,
input-name,/html/body/div[1]/div[2]/div/div/div/div[8]/div[2]/div[1]/div/div[2]/div[1]/div/div/input,0:04:01:04:01,input,,#1F618D,单人存在问题，元素增加，tagui存在问题
input-tel,/html/body/div[1]/div[2]/div/div/div/div[8]/div[2]/div[1]/div/div[2]/div[2]/div/div/input,0:04:01:04:02,input,,#1F618D,
send-45w9v,/html/body/div[1]/div[3]/button[1],0:04:01:05,click,,#154360,
sign-page,/html/body/div[5]/div/div[3]/button[1],0:04:01:05:01,click,,#2471A3,
page-info-page,/html/body/div[5]/div/div[3]/button[2],0:04:01:05:02,click,,#2471A3,
sign-page,/html/body/div[5]/div/div[1]/button,0:04:01:05:03,click,,#2471A3,
page-in-page,/html/body/div[1]/div[1]/div/div[2]/button[3],0:04:01:05:02:01,click,,#7FB3D5,
submit-pz7sa,/html/body/div[1]/div[1]/div[3]/button[1],0:04:01:05:02:01:01,click,,#0E6655,
password-s27wu,/html/body/div[4]/div/div[2]/div/div[3]/div/div[1]/div/input,0:04:01:05:02:01:01:01,input,456789,#117864,
cancel-u279u,/html/body/div[4]/div/div[2]/div/div[3]/div/div[2]/button[1],0:04:01:05:02:01:01:02,click,,#117864,
page-in-page,/html/body/div[4]/div/div[2]/div/div[3]/div/div[2]/button[2],0:04:01:05:02:01:01:03,click,,#117864,
page-in-page,/html/body/div[3]/div/div[3]/button,0:04:01:05:02:01:01:04,click,,#117864,
text-8bse6,/html/body/div[1]/div[2]/div[2]/div/div/div[1]/div[2]/div[1],0:04:01:05:02:01:02,drag,,#0E6655,
text-content-4awpj,/html/body/div[1]/div[2]/div[1]/div[2]/div[1]/div/div[3]/div[2]/div[2]/div[3],0:04:01:05:02:01:02:01,input,,#148F77,
date-anh96,/html/body/div[1]/div[2]/div[2]/div/div/div[1]/div[2]/div[2],0:04:01:05:02:01:03,drag,,#0E6655,
header-sign,/html/body/div[1]/div[2]/div[2]/div/div/div[2]/div/div,0:04:01:05:02:01:04,drag,,#0E6655,
rejetc-sign-4awpj,/html/body/div[1]/div[1]/div[3]/button[2],0:04:01:05:02:01:05,click,,#0E6655,
page-in-page,/html/body/div[5]/div/div[2]/div[3]/button[1],0:04:01:05:02:01:05:01,click,,#17A589,
page-info-wuxiao-page,/html/body/div[5]/div/div[2]/div[3]/button[2],0:04:01:05:02:01:05:02,click,,#17A589,文档为不可操作文件
cancel-sign-2we1w,/html/body/div[1]/div[1]/div[3]/button[3],0:04:01:05:02:01:06,click,,#0E6655,
page-in-page,/html/body/div[5]/div/div[2]/div[3]/button[1],0:04:01:05:02:01:06:01,click,,#1ABC9C,
page-info-wuxiao-page,/html/body/div[5]/div/div[2]/div[3]/button[2],0:04:01:05:02:01:06:02,click,,#1ABC9C,
reject-38ku3,/html/body/div[1]/div[1]/div/div[2]/button[2],0:04:01:05:02:02,click,,#7FB3D5,
text-content-2qkck,/html/body/div[5]/div/div[2]/div[2]/textarea,0:04:01:05:02:02:01,input,,#117A65,
page-info-page,/html/body/div[5]/div/div[2]/div[3]/button[1],0:04:01:05:02:02:02,click,,#117A65,
page-info-wuxiao-page,/html/body/div[5]/div/div[2]/div[3]/button[2],0:04:01:05:02:02:03,click,,#117A65,
cancel-2op4m,/html/body/div[1]/div[1]/div/div[2]/button[1],0:04:01:05:02:03,click,,#7FB3D5,
text-content-2op4m,/html/body/div[6]/div/div[2]/div[2]/textarea,0:04:01:05:02:03:01,input,,#138D75,
page-info-page,/html/body/div[6]/div/div[2]/div[3]/button[1],0:04:01:05:02:03:02,click,,#138D75,
page-info-wuxiao-page,/html/body/div[6]/div/div[2]/div[3]/button[2],0:04:01:05:02:03:03,click,,#138D75,
document-save,/html/body/div[1]/div[1]/div[2],0:04:01:06,click,,#154360,
mian-page,/html/body/div[1]/nav[2]/div[2]/ul/li[1],0:04:02,click,,#1B4F72,
buy-doc-page,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/p/a/span[2],0:04:02:01,click,,#1A5276,
doc-number,/html/body/div[1]/div[2]/div/div[2]/div/div/div/input,0:04:02:01:01,input,,#3498DB,
zhifubao,/html/body/div[1]/div[2]/div/div[3]/div[2]/ul/li[1],0:04:02:01:02,click,,#3498DB,
weixin,/html/body/div[1]/div[2]/div/div[3]/div[2]/ul/li[2],0:04:02:01:03,click,,#3498DB,
do-buy,/html/body/div[1]/div[2]/div/div[3]/div[3]/button,0:04:02:01:04,click,,#3498DB,
to-do-list-page,/html/body/div[1]/div[1]/div/div[3]/div/div[1],0:04:02:02,click,,#1A5276,
gaoji-search-box,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/div[2]/div[3],0:04:02:02:01,click,,#2980B9,
search-doc-title,/html/body/div[3]/div[2]/div[2]/div/input,0:04:02:02:01:01,input,,#A9CCE3,
faqi-search,/html/body/div[3]/div[3]/div[2]/div/input,0:04:02:02:01:02,input,,#A9CCE3,
qianyue-search,/html/body/div[3]/div[4]/div[2]/div/input,0:04:02:02:01:03,input,,#A9CCE3,
qingkong-button,/html/body/div[3]/div[6]/div[2]/button[1],0:04:02:02:01:04,click,,#A9CCE3,
do-search,/html/body/div[3]/div[6]/div[2]/button[2],0:04:02:02:01:05,click,,#A9CCE3,
to-do-list-page,/html/body/div[3]/div[1]/i,0:04:02:02:01:06,click,,#A9CCE3,
page-in-page,/html/body/div[1]/div[1]/div/div[1]/div/div[3]/div[2]/div[1]/div/div/div[5]/button,0:04:02:02:01:05:01,click,,#bfdbee,
page-info-page,/html/body/div[1]/div[1]/div/div[1]/div/div[3]/div[2]/div[1]/div,0:04:02:02:01:05:02,click,,#bfdbee,
doing-list-page,/html/body/div[1]/div[1]/div/div[3]/div/div[2],0:04:02:03,click,,#1A5276,
gaoji-search-box,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/div[2]/div[3],0:04:02:03:01,click,,#5499C7,
search-doc-title,/html/body/div[3]/div[2]/div[2]/div/input,0:04:02:03:01:01,input,,#AED6F1,
faqi-search,/html/body/div[3]/div[3]/div[2]/div/input,0:04:02:03:01:02,input,,#AED6F1,
qianyue-search,/html/body/div[3]/div[4]/div[2]/div/input,0:04:02:03:01:03,input,,#AED6F1,
qingkong-button,/html/body/div[3]/div[6]/div[2]/button[1],0:04:02:03:01:04,click,,#AED6F1,
do-search,/html/body/div[3]/div[6]/div[2]/button[2],0:04:02:03:01:05,click,,#AED6F1,
page-info-page,/html/body/div[1]/div[1]/div/div[1]/div/div[3]/div[2]/div[1]/div,0:04:02:03:01:05:01,click,,#bbdaf0,
done-doc-page,/html/body/div[1]/div[1]/div/div[3]/div/div[3],0:04:02:04,,,#1A5276,
gaoji-search-box,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/div[2]/div[3],0:04:02:04:01,click,,#5DADE2,
