,x,y,element,LOD,color
0,0.00,0.00,login-page,0,#ffffff
1,0.87,0.50,account,0:01,#145A32
2,0.87,1.50,password,0:02,#145A32
3,0.00,1.00,remember-vnp3b,0:03,#145A32
4,-0.87,1.50,mian-page,0:04,#145A32
5,0.00,2.00,sign-page,0:04:01,#1B4F72
6,0.87,2.50,document-page,0:04:01:01,#154360
7,1.73,2.00,todo-add-document,0:04:01:01:01,#2874A6
8,2.60,2.50,sign-title,0:04:01:02,#154360
9,2.60,3.50,sign-remark,0:04:01:03,#154360
10,2.60,4.50,sign-single-page,0:04:01:04,#154360
11,1.73,4.00,input-name,0:04:01:04:01,#1F618D
12,1.73,3.00,input-tel,0:04:01:04:02,#1F618D
13,0.87,3.50,send-45w9v,0:04:01:05,#154360
14,0.87,4.50,sign-page,0:04:01:05:01,#2471A3
15,0.00,5.00,page-info-page,0:04:01:05:02,#2471A3
16,-0.87,4.50,sign-page,0:04:01:05:03,#2471A3
17,-1.73,4.00,page-in-page,0:04:01:05:02:01,#7FB3D5
18,-0.87,3.50,submit-pz7sa,0:04:01:05:02:01:01,#0E6655
19,0.00,4.00,password-s27wu,0:04:01:05:02:01:01:01,#117864
20,0.00,3.00,cancel-u279u,0:04:01:05:02:01:01:02,#117864
21,-0.87,2.50,page-in-page,0:04:01:05:02:01:01:03,#117864
22,-1.73,3.00,page-in-page,0:04:01:05:02:01:01:04,#117864
23,-2.60,2.50,text-8bse6,0:04:01:05:02:01:02,#0E6655
24,-1.73,2.00,text-content-4awpj,0:04:01:05:02:01:02:01,#148F77
25,-1.73,1.00,date-anh96,0:04:01:05:02:01:03,#0E6655
26,-2.60,1.50,header-sign,0:04:01:05:02:01:04,#0E6655
27,-3.46,2.00,rejetc-sign-4awpj,0:04:01:05:02:01:05,#0E6655
28,-3.46,3.00,page-in-page,0:04:01:05:02:01:05:01,#17A589
29,-2.60,3.50,page-info-wuxiao-page,0:04:01:05:02:01:05:02,#17A589
30,-2.60,4.50,cancel-sign-2we1w,0:04:01:05:02:01:06,#0E6655
31,-3.46,4.00,page-in-page,0:04:01:05:02:01:06:01,#1ABC9C
32,-4.33,4.50,page-info-wuxiao-page,0:04:01:05:02:01:06:02,#1ABC9C
33,-3.46,5.00,reject-38ku3,0:04:01:05:02:02,#7FB3D5
34,-2.60,5.50,text-content-2qkck,0:04:01:05:02:02:01,#117A65
35,-1.73,5.00,page-info-page,0:04:01:05:02:02:02,#117A65
36,-0.87,5.50,page-info-wuxiao-page,0:04:01:05:02:02:03,#117A65
37,-0.87,6.50,cancel-2op4m,0:04:01:05:02:03,#7FB3D5
38,-1.73,6.00,text-content-2op4m,0:04:01:05:02:03:01,#138D75
39,-2.60,6.50,page-info-page,0:04:01:05:02:03:02,#138D75
40,-1.73,7.00,page-info-wuxiao-page,0:04:01:05:02:03:03,#138D75
41,-0.87,7.50,document-save,0:04:01:06,#154360
42,0.00,7.00,mian-page,0:04:02,#1B4F72
43,0.00,6.00,buy-doc-page,0:04:02:01,#1A5276
44,0.87,5.50,doc-number,0:04:02:01:01,#3498DB
45,1.73,5.00,zhifubao,0:04:02:01:02,#3498DB
46,1.73,6.00,weixin,0:04:02:01:03,#3498DB
47,0.87,6.50,do-buy,0:04:02:01:04,#3498DB
48,1.73,7.00,to-do-list-page,0:04:02:02,#1A5276
49,2.60,6.50,gaoji-search-box,0:04:02:02:01,#2980B9
50,3.46,7.00,search-doc-title,0:04:02:02:01:01,#A9CCE3
51,3.46,8.00,faqi-search,0:04:02:02:01:02,#A9CCE3
52,2.60,7.50,qianyue-search,0:04:02:02:01:03,#A9CCE3
53,1.73,8.00,qingkong-button,0:04:02:02:01:04,#A9CCE3
54,2.60,8.50,do-search,0:04:02:02:01:05,#A9CCE3
55,3.46,9.00,to-do-list-page,0:04:02:02:01:06,#A9CCE3
56,4.33,8.50,page-in-page,0:04:02:02:01:05:01,#bfdbee
57,5.20,9.00,page-info-page,0:04:02:02:01:05:02,#bfdbee
58,5.20,10.00,doing-list-page,0:04:02:03,#1A5276
59,5.20,11.00,gaoji-search-box,0:04:02:03:01,#5499C7
60,4.33,10.50,search-doc-title,0:04:02:03:01:01,#AED6F1
61,4.33,9.50,faqi-search,0:04:02:03:01:02,#AED6F1
62,3.46,10.00,qianyue-search,0:04:02:03:01:03,#AED6F1
63,3.46,11.00,qingkong-button,0:04:02:03:01:04,#AED6F1
64,4.33,11.50,do-search,0:04:02:03:01:05,#AED6F1
65,4.33,12.50,page-info-page,0:04:02:03:01:05:01,#bbdaf0
66,4.33,13.50,done-doc-page,0:04:02:04,#1A5276
67,3.46,13.00,gaoji-search-box,0:04:02:04:01,#5DADE2
68,3.46,12.00,search-doc-title,0:04:02:04:01:01,#D6EAF8
69,2.60,12.50,faqi-search,0:04:02:04:01:02,#D6EAF8
70,2.60,13.50,qianyue-search,0:04:02:04:01:03,#D6EAF8
71,1.73,14.00,qingkong-button,0:04:02:04:01:04,#D6EAF8
72,0.87,13.50,do-search,0:04:02:04:01:05,#D6EAF8
73,0.00,13.00,page-info-page,0:04:02:04:01:05:01,#cbdce7
74,0.87,12.50,caogao-page,0:04:02:05,#1A5276
75,1.73,13.00,gaoji-search-box,0:04:02:05:01,#85C1E9
76,1.73,12.00,search-doc-title,0:04:02:05:01:01,#EBF5FB
77,0.87,11.50,faqi-search,0:04:02:05:01:02,#EBF5FB
78,0.87,10.50,qianyue-search,0:04:02:05:01:03,#EBF5FB
79,1.73,10.00,qingkong-button,0:04:02:05:01:04,#EBF5FB
80,1.73,11.00,do-search,0:04:02:05:01:05,#EBF5FB
81,2.60,11.50,page-info-page,0:04:02:05:01:05:01,#edf3f6
82,2.60,10.50,document-page,0:04:03,#1B4F72
83,2.60,9.50,to-do-list-page,0:04:03:01,#21618C
84,1.73,9.00,doing-list-page,0:04:03:02,#21618C
85,0.87,9.50,done-doc-page,0:04:03:03,#21618C
86,0.00,9.00,phone-login-page,0:05,#145A32
87,0.87,8.50,tele,0:05:01,#512E5F
88,0.87,7.50,v-code,0:05:02,#512E5F
89,0.00,8.00,obtain,0:05:03,#512E5F
90,-0.87,8.50,remember,0:05:04,#512E5F
91,-0.87,9.50,mian-page,0:05:05,#512E5F
92,0.00,10.00,register-page,0:06,#145A32
93,0.00,11.00,tele,0:06:01,#641E16
94,0.00,12.00,v-code,0:06:02,#641E16
95,-0.87,11.50,register,0:06:03,#641E16
96,-0.87,10.50,login-page,0:06:04,#641E16
97,-1.73,11.00,@,-1,#000000
98,-1.73,12.00,@,-1,#000000
99,-2.60,12.50,@,-1,#000000
100,-3.46,12.00,@,-1,#000000
101,-2.60,11.50,@,-1,#000000
102,-2.60,10.50,@,-1,#000000
103,-3.46,11.00,@,-1,#000000
104,-4.33,11.50,@,-1,#000000
105,-4.33,12.50,@,-1,#000000
106,-5.20,13.00,@,-1,#000000
107,-6.06,12.50,@,-1,#000000
108,-6.93,12.00,@,-1,#000000
109,-6.06,11.50,@,-1,#000000
110,-5.20,12.00,@,-1,#000000
111,-5.20,11.00,@,-1,#000000
112,-6.06,10.50,@,-1,#000000
113,-6.93,11.00,@,-1,#000000
114,-7.79,10.50,@,-1,#000000
115,-8.66,10.00,@,-1,#000000
116,-7.79,9.50,@,-1,#000000
117,-6.93,10.00,@,-1,#000000
118,-6.93,9.00,@,-1,#000000
119,-7.79,8.50,@,-1,#000000
120,-7.79,7.50,@,-1,#000000
121,-6.93,7.00,@,-1,#000000
122,-6.06,6.50,@,-1,#000000
123,-6.06,7.50,@,-1,#000000
124,-6.93,8.00,@,-1,#000000
125,-6.06,8.50,@,-1,#000000
126,-5.20,8.00,@,-1,#000000
127,-4.33,8.50,@,-1,#000000
128,-4.33,9.50,@,-1,#000000
129,-5.20,9.00,@,-1,#000000
130,-6.06,9.50,@,-1,#000000
131,-5.20,10.00,@,-1,#000000
132,-4.33,10.50,@,-1,#000000
133,-3.46,10.00,@,-1,#000000
134,-3.46,9.00,@,-1,#000000
135,-2.60,8.50,@,-1,#000000
136,-2.60,9.50,@,-1,#000000
137,-1.73,10.00,@,-1,#000000
138,-1.73,9.00,@,-1,#000000
139,-1.73,8.00,@,-1,#000000
140,-2.60,7.50,@,-1,#000000
141,-3.46,8.00,@,-1,#000000
142,-4.33,7.50,@,-1,#000000
143,-5.20,7.00,@,-1,#000000
144,-4.33,6.50,@,-1,#000000
145,-3.46,7.00,@,-1,#000000
146,-3.46,6.00,@,-1,#000000
147,-4.33,5.50,@,-1,#000000
148,-5.20,6.00,@,-1,#000000
149,-6.06,5.50,@,-1,#000000
150,-5.20,5.00,@,-1,#000000
151,-5.20,4.00,@,-1,#000000
152,-6.06,4.50,@,-1,#000000
153,-6.93,5.00,@,-1,#000000
154,-6.93,6.00,@,-1,#000000
155,-7.79,6.50,@,-1,#000000
156,-8.66,6.00,@,-1,#000000
157,-9.53,5.50,@,-1,#000000
158,-8.66,5.00,@,-1,#000000
159,-7.79,5.50,@,-1,#000000
160,-7.79,4.50,@,-1,#000000
161,-8.66,4.00,@,-1,#000000
162,-8.66,3.00,@,-1,#000000
163,-7.79,2.50,@,-1,#000000
164,-6.93,2.00,@,-1,#000000
165,-6.93,3.00,@,-1,#000000
166,-7.79,3.50,@,-1,#000000
167,-6.93,4.00,@,-1,#000000
168,-6.06,3.50,@,-1,#000000
169,-6.06,2.50,@,-1,#000000
170,-5.20,2.00,@,-1,#000000
171,-5.20,3.00,@,-1,#000000
172,-4.33,3.50,@,-1,#000000
173,-4.33,2.50,@,-1,#000000
174,-4.33,1.50,@,-1,#000000
175,-5.20,1.00,@,-1,#000000
176,-6.06,1.50,@,-1,#000000
177,-6.93,1.00,@,-1,#000000
178,-6.06,0.50,@,-1,#000000
179,-6.06,-0.50,@,-1,#000000
180,-6.93,-0.00,@,-1,#000000
181,-7.79,0.50,@,-1,#000000
182,-7.79,1.50,@,-1,#000000
183,-8.66,2.00,@,-1,#000000
184,-9.53,1.50,@,-1,#000000
185,-8.66,1.00,@,-1,#000000
186,-8.66,-0.00,@,-1,#000000
187,-9.53,0.50,@,-1,#000000
188,-10.39,1.00,@,-1,#000000
189,-10.39,2.00,@,-1,#000000
190,-9.53,2.50,@,-1,#000000
191,-9.53,3.50,@,-1,#000000
192,-9.53,4.50,@,-1,#000000
193,-10.39,4.00,@,-1,#000000
194,-10.39,3.00,@,-1,#000000
